year,month,total sales,inflation rate
2016,1,135251,1.4
2016,2,158982,1
2016,3,182383,0.9
2016,4,179603,1.1
2016,5,185998,1
2016,6,166299,1
2016,7,179920,0.8
2016,8,176560,1.1
2016,9,170719,1.5
2016,10,161116,1.6
2016,11,168425,1.7
2016,12,202047,2.1
2017,1,127404,2.5
2017,2,155962,2.7
2017,3,187258,2.4
2017,4,179796,2.2
2017,5,192837,1.9
2017,6,177973,1.6
2017,7,193148,1.7
2017,8,196816,1.9
2017,9,200428,2.2
2017,10,165538,2
2017,11,164499,2.2
2017,12,187518,2.1
2018,1,149142,2.1
2018,2,162929,2.2
2018,3,195750,2.4
2018,4,170706,2.5
2018,5,189930,2.8
2018,6,185851,2.9
2018,7,183367,2.9
2018,8,194433,2.7
2018,9,178491,2.3
2018,10,168239,2.5
2018,11,163977,2.2
2018,12,185386,1.9
2019,1,138601,1.6
2019,2,152616,1.5
2019,3,185697,1.9
2019,4,162505,2
2019,5,197636,1.8
2019,6,179305,1.6
2019,7,184179,1.8
2019,8,218401,1.7
2019,9,150791,1.7
2019,10,165644,1.8
2019,11,177764,2.1
2019,12,172047,2.3
2020,1,146239,2.5
2020,2,173008,2.3
2020,3,120140,1.5
2020,4,74926,0.3
2020,5,145057,0.1
2020,6,127590,0.6
2020,7,146044,1
2020,8,164750,1.3
2020,9,172370,1.4
2020,10,178658,1.2
2020,11,177725,1.2
2020,12,211378,1.4
2021,1,146591,1.4
2021,2,161625,1.7
2021,3,220597,2.6
2021,4,212283,4.2
2021,5,212447,5
2021,6,180623,5.4
