date,year,month,Volume
2016-01-31,2016,1,135251
2016-02-29,2016,2,158982
2016-03-31,2016,3,182383
2016-04-30,2016,4,179603
2016-05-31,2016,5,185998
2016-06-30,2016,6,166299
2016-07-31,2016,7,179920
2016-08-31,2016,8,176560
2016-09-30,2016,9,170719
2016-10-31,2016,10,161116
2016-11-30,2016,11,168425
2016-12-31,2016,12,202047
2017-01-31,2017,1,127404
2017-02-28,2017,2,155962
2017-03-31,2017,3,187258
2017-04-30,2017,4,179796
2017-05-31,2017,5,192837
2017-06-30,2017,6,177973
2017-07-31,2017,7,193148
2017-08-31,2017,8,196816
2017-09-30,2017,9,200428
2017-10-31,2017,10,165538
2017-11-30,2017,11,164499
2017-12-31,2017,12,187518
2018-01-31,2018,1,149142
2018-02-28,2018,2,162929
2018-03-31,2018,3,195750
2018-04-30,2018,4,170706
2018-05-31,2018,5,189930
2018-06-30,2018,6,185851
2018-07-31,2018,7,183367
2018-08-31,2018,8,194433
2018-09-30,2018,9,178491
2018-10-31,2018,10,168239
2018-11-30,2018,11,163977
2018-12-31,2018,12,185386
